date,revenue,cogs,lag_28,lag_35,lag_42,lag_56,lag_91,lag_182,lag_364,lag_371,roll_mean_7,roll_std_7,roll_mean_28,roll_std_28,roll_mean_91,roll_std_91,roll_mean_364,roll_std_364,roll_min_91,roll_max_91,lag364_smooth7,lag364_smooth28,ratio_28_364,ratio_91_364,trend_28_91,cv_91,dow,dom,month,quarter,doy,days_in_month,dom_reverse,is_weekend,is_eom,is_som,is_odd_year,fourier_sin1,fourier_cos1,fourier_sin2,fourier_cos2,fourier_sin3,fourier_cos3,fourier_sin4,fourier_cos4,days_to_tet,tet_before,tet_after,is_special_day,promo_n,promo_disc_max,promo_day_idx,promo_streetwear,promo_outdoor,promo_any,promo_is_percentage,stackable_flag,min_order_value,promo_days_left,promo_ch_all_channels,promo_ch_email,promo_ch_in_store,promo_ch_online,promo_ch_social_media
2013-07-10,3855254.64,3797797.81,7209020.15,6860958.96,7359639.59,6416011.44,6011834.78,2049715.7,5582884.78,5123547.94,4821893.87,1280220.6553231438,6880153.081428572,2943336.6166290794,6530120.2410989,2605324.3559196033,4577085.196162791,2251236.828378259,2924734.26,13809349.18,4513148.128571428,4296781.791818182,1.5031734797500738,1.4266984251404016,350032.8403296713,0.3989703496610002,2,10,7,3,191,31,21,0,0,0,1,-0.1435724234118113,-0.9896398128792412,0.2841699724797683,0.9587739184713191,-0.4188794133697427,-0.908041869659665,0.5449095160526287,0.8384948534816955,150,0,0,0,1,18.0,17,0,0,1,1,0,0.0,12,0,0,0,1,0
2013-07-11,5785320.61,5626075.87,6845836.24,5692902.11,12828293.48,7727680.05,4244755.76,2794331.46,5734632.02,2751773.45,4986598.745714285,1470917.1202711724,6848658.659642858,2938646.226294897,6531801.987692308,2605479.920289935,4583661.286144928,2251278.3068298274,2924734.26,13809349.18,4740003.754285715,4364398.455652175,1.4941458873377833,1.4250184688463001,316856.67195055075,0.3988914430044524,3,11,7,3,192,31,20,0,0,0,1,-0.16057454459499376,-0.9870237158387383,0.31698176735052785,0.9484316312562208,-0.46516249913190355,-0.8852253099642835,0.601271069373482,0.7990451183346716,151,0,0,0,1,18.0,18,0,0,1,1,0,0.0,11,0,0,0,1,0
2013-07-12,6053300.71,5886949.95,4871516.57,3843507.28,13809349.18,6520355.77,4282161.81,2343077.25,5309511.71,3054029.42,5133457.215714285,1386674.4982718034,6789771.5453571435,2961897.1463026474,6526763.074285714,2608271.7843967807,4584493.23783237,2248066.481477909,2924734.26,13809349.18,4733634.472857143,4397410.997083333,1.4810298964618973,1.4236607484607575,263008.47107142955,0.3996271589316468,4,12,7,3,193,31,19,0,0,0,1,-0.17752914918703497,-0.984115542601034,0.34941838995939767,0.9369668023778549,-0.5102069876723092,-0.8600516436414433,0.6547868630645504,0.7558135775163646,152,0,0,0,1,18.0,19,0,0,1,1,0,0.0,10,0,0,0,1,0
2013-07-13,4161301.31,3995435.41,5166292.57,3646959.35,13162597.88,5126131.05,5214391.75,2814596.53,3820831.41,2667930.94,5350504.818571429,1224665.369758876,6791205.885357142,2961071.2758805137,6544065.913406594,2593767.303758258,4586169.8929683,2245032.742568569,2924734.26,13809349.18,4625318.882857143,4394592.8308,1.4808012009693956,1.4269131031190578,247139.9719505487,0.3963540921011354,5,13,7,3,194,31,18,1,0,0,1,-0.19443122004766195,-0.9809161537413774,0.3814414490727919,0.9243930013415553,-0.5538929381563792,-0.8325879011014353,0.7052036118889403,0.7090048418584973,153,0,0,0,1,18.0,20,0,0,1,1,0,0.0,9,0,0,0,1,0
2013-07-14,4482102.22,4419156.67,5794009.15,3880132.51,12079925.72,5417543.03,4506492.03,2919719.62,3948841.28,2360851.9,5623915.767142857,1041653.9849290173,6804651.103928572,2955452.2981692576,6559370.435494506,2585077.709631079,4589640.695431034,2242730.29927242,2924734.26,13809349.18,4568355.551428571,4410346.939230769,1.4826108524579211,1.429168614881842,245280.66843406577,0.39410454632086833,6,14,7,3,195,31,17,1,0,0,1,-0.2112757555821793,-0.9774264960104055,0.4130130429412807,0.9107251102063585,-0.5961040271552034,-0.8029072105849769,0.7522826980987227,0.6588404527207676,154,0,0,0,1,18.0,21,0,0,1,1,0,0.0,8,0,0,0,1,0
2013-07-15,4387240.36,4219310.04,5795298.96,4476887.83,9411997.25,5837064.06,5167610.5,3077677.28,3503801.49,3548386.46,5812260.214285715,910644.62888768,6803159.493214286,2955969.2181775775,6572868.07934066,2577755.587967165,4593095.303638969,2240435.384318267,2924734.26,13809349.18,4666477.707142857,4490931.532222223,1.4811709845916654,1.4310323746457378,230291.41387362592,0.39218124521156456,0,15,7,3,196,31,16,0,0,0,1,-0.2280577712215198,-0.9736476020539838,0.4440958041592176,0.8959793059709459,-0.636727858382198,-0.7710886034432227,0.7958013007903698,0.6055578334563557,155,0,0,0,1,18.0,22,0,0,1,1,0,0.0,7,0,0,0,1,0
2013-07-16,4411030.39,4135243.61,6632615.61,5003847.86,5397308.75,5156527.79,5887221.88,2536405.93,4476729.49,5234938.62,6044941.321428572,877127.0145669782,6855876.915357143,2938626.7403348973,6594705.244065935,2569650.4737859373,4598922.504514285,2239877.8402013853,2924734.26,13809349.18,4646757.528571429,4657384.768214286,1.4907572172889278,1.4339674646816938,261171.6712912079,0.3896535749036194,1,16,7,3,197,31,15,0,0,0,1,-0.24477230089725957,-0.9695805901076308,0.47465294389193496,0.8801730414269229,-0.6756562619728733,-0.7372168036994572,0.8355534504952139,0.5494091657094392,156,0,0,0,1,18.0,23,0,0,1,1,0,0.0,6,0,0,0,1,0
2013-07-17,4475453.64,4375610.63,7437341.02,7209020.15,6860958.96,6977473.78,8104639.53,1849789.43,5184141.46,5582884.78,6077558.588571429,930265.2844521981,6872300.745357143,2940615.922755652,6621575.967472527,2565487.4412964582,4607009.166951567,2241800.980242999,2924734.26,13809349.18,4592661.187142857,4801127.959642857,1.4917054636347744,1.437283002380911,250724.77788461559,0.38744363183311953,2,17,7,3,198,31,14,0,0,0,1,-0.2614143985111562,-0.965226663665613,0.5046482954181526,0.8633250245021008,-0.7127855825108473,-0.7013820024527804,0.87135100401364,0.490660195863106,157,0,0,0,1,18.0,24,0,0,1,1,0,0.0,5,0,0,0,1,0
2013-07-18,6265533.39,6163756.55,7078652.68,6845836.24,5692902.11,9166919.02,6536742.64,2173214.95,6421487.11,5734632.02,6110818.08,965794.7047690449,6797719.804642858,2906547.8910870953,6618531.563406593,2564770.8804955706,4614030.881477273,2242478.240110724,2924734.26,13809349.18,4473905.371428572,5049008.443571429,1.4732714147908854,1.4344359050513202,179188.24123626482,0.38751358302436945,3,18,7,3,199,31,13,0,0,0,1,-0.2779791393987801,-0.9605871111248129,0.5340463569360717,0.8454551961182272,-0.7480169550331223,-0.6636796177245282,0.9030245348792224,0.4295889772866198,158,0,0,0,1,18.0,25,0,0,1,1,0,0.0,4,0,0,0,1,0
2013-07-19,6310739.5,5960928.51,5526354.45,4871516.57,3843507.28,6670030.19,5871312.85,2099249.56,5171470.46,5309511.71,6204366.348571428,850590.6793512254,6756874.2425,2916427.9808032406,6606696.642417582,2567325.3356803483,4616615.367507082,2239817.0551961036,2924734.26,13809349.18,4649150.542857142,5271981.319642858,1.463599131531859,1.4310693260082266,150177.60008241795,0.38859440271513507,4,19,7,3,200,31,12,0,0,0,1,-0.2944616217868012,-0.9556633054034704,0.5628123335824821,0.8265847065893737,-0.7812565682797488,-0.6242100403868479,0.9304241352383132,0.366484554334882,159,0,0,0,1,18.0,26,0,0,1,1,0,0.0,3,0,0,0,1,0
